vehicle,fm,Mileage,lh,lc,mc,State
1024,3,5966,1.8,128.27,119.66,OK
1025,4,7156,3.7,276.89,119.66,AZ
1026,12,44749,5.4,346.5,175.46,LA
1027,8,15299,3.5,280.2,175.46,CA
1028,20,25663,2.9,197.99,119.66,FL
1029,19,31571,3.6,255.6,119.66,NC
1030,19,67567,1.5,87.75,119.66,FL
1031,17,30698,5.9,363.65,303.75,NC
1032,7,5176,5.5,460.65,380.83,CO
1033,11,47809,1.2,71.02,119.66,MS
1034,1,530,4.5,294.22,0,AL
1035,12,13035,4.4,294.8,119.66,TX
1036,3,4176,2.9,206.65,119.66,OK
1037,1,1004,2.4,185.52,42.14,NV
1038,22,30390,4.1,312.8,119.66,TX
1039,15,12550,1.7,131.77,119.66,AZ
1040,10,11349,3.8,257.31,206.14,TX
1041,15,31341,3.5,240,119.66,WY
1042,3,2972,2.7,202.7,119.66,OK
1043,6,11930,3,236.7,175.46,TX
1044,14,16307,4.4,323.08,119.66,TX
1045,0,23,1.1,87.87,0,CO
1046,0,103,0.2,12.36,0,SD
1047,13,28641,4.6,336.57,175.46,KY
1048,8,25538,4.9,311.28,119.66,WI
1049,14,25021,1.7,126.68,15.16,CA
1050,0,31,2.6,199.2,119.66,TX
1051,13,45365,2.7,189,175.46,SC
1052,10,17156,6.9,544.41,229.17,TX
1053,11,12446,2,139.67,119.66,NC
1054,12,16444,2.4,173.56,176.91,KY
1055,18,49762,5.6,556.49,119.66,CA
1056,3,5332,2.4,147.76,206.14,FL
1057,7,39093,6.4,439.79,136.91,FL
1058,17,31652,1.7,154.8,175.46,CA
1059,16,70657,2.6,206.46,175.46,TX
1060,16,22906,1.7,129.85,175.46,TX
1061,10,25306,2,145.6,119.66,VA
1062,8,26644,1.7,102,128.21,IL
1063,9,15483,1.9,164.73,175.46,CA
1064,7,15299,2.7,211.31,206.14,TX
1065,12,26747,0.5,34.25,128.21,GA
1066,5,12897,2.4,179.07,206.14,CA
1067,19,43567,1.4,108.13,119.66,AZ
1068,11,16743,17.6,1020.8,896.14,IA
1069,22,26056,3.6,283.35,119.66,FL
1070,9,32340,2.4,157.72,119.66,FL
1071,2,2888,4.9,339.45,119.66,NC
1072,0,137,0.8,51.2,0,FL
1073,22,37354,4.3,329.22,119.66,TX
1074,16,48295,0.8,55.36,119.66,CO
1075,11,37752,5.5,378.2,256.23,OH
1076,4,12065,1.5,106.34,119.66,CA
1077,7,78799,1.2,82.73,119.66,TN
1078,7,75310,1.9,130.96,119.66,TN
1079,5,45021,2.7,186.1,119.66,TN
1080,2,24769,4.7,312.68,282.68,TN
1081,12,14279,1.2,97,119.66,TX
1082,5,25789,3.8,272.74,119.66,FL
1083,1,1526,0.7,53.51,149.03,TX
1084,12,34120,5.7,460.61,322.18,TX
1085,7,31078,0.7,46.46,123.57,TX
1086,1,2277,3.8,248.42,119.66,TX
1087,12,15545,1.8,143.04,119.66,TX
1088,16,22952,1.3,128.7,119.66,CA
1089,13,47488,2.3,195.5,322.18,CO
1090,14,65200,5.5,378.26,284.02,OK
1091,0,12,0.6,38.4,0,FL
1092,6,12530,1.5,104.39,119.66,LA
1093,8,18082,2.4,167.02,119.66,LA
1094,11,53726,1.3,69.42,119.66,LA
1095,13,31183,2.6,221.22,119.66,VA
1096,14,17798,0,0,0,LA
1097,15,23234,0.8,66.05,119.66,TX
1098,21,53969,4.3,427.31,175.46,CA
1099,11,24427,4,318.74,119.66,KS
1100,5,13372,3.4,221,118.47,AR
1101,13,26016,3.9,301.18,175.46,AZ
1102,1,230,2.3,178.02,212.33,TX
1103,19,45847,1.4,98.24,120.36,TX
1104,6,4999,2.6,177.39,122.38,NY
1105,5,17844,1.7,131.18,261.93,CA
1106,2,1661,5.1,320.97,176.58,FL
1107,0,13,3.7,259.33,119.66,OH
1108,2,1485,1.5,95.79,119.66,FL
1109,12,20908,4,303.4,119.66,TN
1110,10,26922,5,283.69,175.46,MT
1111,18,88350,2.9,190.2,119.66,OK
1112,8,16319,5.4,416.5,119.66,NV
1113,4,20615,3.4,197.51,119.66,LA
1114,17,29223,4.6,335.68,175.46,LA
1115,8,23116,4.9,283.5,175.46,SC
1116,17,65568,2.5,176.67,206.14,FL
1117,6,11000,1,63.47,162.05,TX
1118,13,16371,1.2,92.05,119.66,LA
1119,1,1079,0.8,58.16,128.21,GA
1120,11,15793,1,81.1,126.04,CA
1121,10,15571,2.8,227.09,119.66,CA
1122,12,20837,2.8,173.6,119.66,SC
1123,1,1369,1,81.1,128.21,GA
1124,5,16068,2.3,153.18,119.66,TX
1125,17,39682,3.2,257.3,119.66,TX
1126,0,55,4.8,406.56,147.11,CA
1127,0,66,7.5,658.18,119.66,CA
1128,9,38300,8.2,582.87,121.65,NC
1129,6,9872,0.9,62.82,119.66,OR
1130,14,18122,5.3,453.59,119.66,CA
1131,16,33963,1.9,116.61,128.21,GA
1132,16,43420,0.9,66.6,119.66,LA
1133,15,43717,2.9,160.47,175.46,SC
1134,5,11790,1.2,78.95,119.66,OK
1135,8,16093,1.3,116.18,119.66,CA
1136,2,3461,6.1,520.5,119.66,CA
1137,14,41890,4.9,368.34,175.46,TX
1138,1,289,1.4,123.05,118.36,CA
1139,9,9789,5.7,424.55,119.66,TX
1140,9,4652,1.7,115.65,175.46,MT
1141,4,3412,4.2,239.4,175.46,MN
1142,12,30441,2.6,184.52,192.71,FL
1143,12,20419,5.1,380.04,385.22,WI
1144,20,35864,2.1,176.94,188,GA
1145,8,23590,2.7,193.61,175.46,TX
1146,9,11267,2.3,160.55,175.46,TX
1147,7,15589,4,276.78,119.66,FL
1148,11,12480,1,55.5,119.66,MS
1149,11,48466,4.9,357.86,119.66,AZ
1150,17,27820,1.5,105.32,119.66,TX
1151,12,29774,3.4,227.12,243.65,TX
1152,5,29504,0.7,45.57,119.66,TX
1153,22,52671,2.3,232.06,175.46,TX
1154,10,26178,2.1,131.18,119.66,KY
1155,6,17339,2.7,202.77,119.66,TX
1156,7,22845,3.9,326.85,119.66,CA
1157,2,3844,4.4,263.19,119.66,OK
1158,0,177,2.4,171.78,119.66,TX
1159,10,32462,8.1,604.41,500.69,MS
1160,0,12,0.7,44.8,0,FL
1161,0,166,2.9,208.8,206.14,NM
1162,3,9275,2.6,165.27,119.66,FL
1163,1,2912,3.7,223.11,119.66,TX
1164,5,20028,1.6,93.22,119.66,LA
1165,0,260,0.7,47.55,175.46,TX
1166,3,703,1,65.72,119.66,AL
1167,14,12509,6.3,552.89,119.66,CA
1168,7,5688,7.4,610.89,215.84,CA
1169,0,6,1.3,94.2,118.36,TX
1170,14,21018,7.1,518.55,119.66,AZ
1171,1,435,5.1,395.3,0,CA
1172,9,19028,2.2,160.96,119.66,FL
1173,1,546,2.4,182.4,0,GA
1174,10,24348,5.9,468.36,119.66,SC
1175,3,835,0.8,52.61,166.53,OK
1176,0,5,2.7,179.66,126.81,GA
1177,15,18402,5.3,453.59,119.66,CA
1178,19,25240,2.6,189.1,119.66,MS
1179,11,7188,2.8,187.88,119.66,AL
1180,0,6,1,62.2,119.66,FL
1181,16,35099,6.7,573.4,832.02,CA
1182,12,12005,3.1,252.29,118.47,AZ
1183,18,18854,3.6,286.92,119.66,LA
1184,7,12529,0.8,56.11,119.66,OK
1185,3,2623,3.3,229.4,119.66,FL
1186,0,43,0.8,48.03,128.21,GA
1187,3,814,1.3,92.56,119.66,TX
1188,1,1421,4.1,278.8,119.66,LA
1189,9,22358,2,124.72,119.66,AL
1190,0,225,0.8,57.36,119.66,TX
1191,2,2414,1.6,115.53,119.66,FL
1192,1,138,1.2,74.64,119.66,FL
1193,19,48768,1.5,81,119.66,NC
1194,2,2993,3.4,206.72,119.66,TX
1195,11,19324,1,83.89,119.66,CA
1196,19,52598,1,68.28,119.66,AL
1197,9,24025,0.4,33.03,119.66,CA
1198,12,13587,1.9,154.23,119.66,CA
1199,1,154,1.7,120.2,149.14,SC
1200,1,419,4.1,261.51,119.66,FL
1201,12,18506,0.2,17.76,153.85,NJ
1202,1,1801,2.9,210.59,119.66,TX
1203,9,20628,3.9,286.37,119.66,TX
1204,0,243,6.8,390.29,137.61,SC
1205,0,404,0.6,46,119.66,LA
1206,8,31871,1.9,134.35,119.66,SC
1207,19,54511,2.4,184.7,119.66,AL
1208,12,12618,1.9,127.32,119.66,LA
1209,17,17796,1.6,138.71,404.78,CA
1210,19,17189,1.8,138.07,119.66,CA
1211,11,12410,1.2,97.32,188,GA
1212,6,55137,4,259.27,175.46,PA
1213,17,37402,2.6,228.49,244.71,CA
1214,11,25638,4.1,321.26,119.66,PA
1215,5,16329,2.7,213.3,128.21,GA
1216,19,51560,7.5,506.51,284.02,TX
1217,0,25,1.4,97.98,119.66,TX
1218,1,91,1.7,136.9,119.66,CT
1219,-1,10,1.5,82.18,119.66,TN
1220,1,44,1.1,74.75,142.03,OK
1221,9,8524,1.7,135.75,134.71,CA
1222,1,660,2.4,181.41,119.66,NC
1223,1,438,2,161.05,119.66,CT
1224,6,32019,5,493.82,128.03,NJ
1225,1,1311,2.1,156.27,119.66,FL
1226,23,47287,1.2,107.77,119.66,CA
1227,21,99983,0.6,52.96,121.54,CA
